77000,0.283,2.74E-08,402,454,0.11,515,0.3,261000,0.217,7.70E-09,586,652,0.28,732,0.51,-6270,424.5700989,532.8269653,0.048903238,0.002325193,1202.917114,275.774231
365000,0.398,2.45E-08,223,289,0.12,355,0.35,50000,0.278,1.51E-08,273,348,0.19,368,0.34,-9346,269.1809387,279.8983459,0.086175725,0.017490577,798.1975708,30.73520851
258000,0.306,2.31E-08,221,311,0.27,390,0.41,331000,0.278,5.58E-09,365,421,0.18,457,0.39,-4800,241.9124908,337.032074,0.062915981,0.000713953,807.2475586,180.3197784
331000,0.199,6.36E-09,447,511,0.17,582,0.4,312000,0.434,7.16E-09,409,487,0.26,546,0.46,-9764,460.640564,397.8436584,0.03919429,0.005540242,1579.321167,156.4954529
198000,0.112,8.15E-10,579,630,0.22,713,0.46,141000,0.484,4.51E-09,511,609,0.14,660,0.3,-5558,455.2606201,222.1222534,0,0,786.1522827,17.62333679
270000,0.292,2.74E-09,226,290,0.16,369,0.44,77000,0.234,2.35E-08,502,553,0.29,618,0.52,-7855,237.509964,310.4319153,0.029028445,0,713.760437,42.91122818
330000,0.38,8.96E-09,377,406,0.13,496,0.35,188000,0.379,1.90E-08,391,474,0.25,495,0.55,-7741,386.4549255,391.2115173,0.043413922,0.006374818,1201.996704,121.7590179
342000,0.285,1.55E-08,226,285,0.2,331,0.31,99000,0.218,1.87E-08,421,441,0.22,525,0.39,-2828,231.867981,318.1715393,0.019980306,0,757.6871338,14.44549274
311000,0.293,2.48E-08,558,586,0.3,624,0.4,155000,0.205,2.34E-08,307,347,0.12,372,0.3,-3644,558.5570679,311.8661499,0.005978638,0.014861619,1296.313843,61.65053177
50000,0.427,2.03E-08,579,635,0.17,678,0.43,261000,0.217,7.70E-09,586,652,0.28,732,0.51,-7223,584.8977661,586.4476318,0.020111443,0.005901574,1343.445801,262.9870605
306000,0.47,4.07E-09,332,432,0.2,522,0.35,333000,0.34,2.49E-08,561,634,0.16,680,0.28,-3672,337.1601868,269.0856323,0.010444292,0,864.4072876,19.523592
155000,0.205,2.34E-08,307,347,0.12,372,0.3,306000,0.47,4.07E-09,332,432,0.2,522,0.35,-3325,317.7826233,332.4558716,0.032396723,0.001099437,1027.435181,137.4841309
258000,0.306,2.31E-08,221,311,0.27,390,0.41,92000,0.333,9.77E-10,543,578,0.11,601,0.3,-6397,239.4176636,313.5452576,0.055983376,0,808.5256958,156.661087
141000,0.484,4.51E-09,511,609,0.14,660,0.3,53000,0.341,5.22E-09,420,441,0.2,518,0.42,-9816,514.4292603,421.1513672,0.005084898,0.011465958,1172.250366,78.90299225
198000,0.112,8.15E-10,579,630,0.22,713,0.46,312000,0.434,7.16E-09,409,487,0.26,546,0.46,-3096,281.0727234,135.719696,0,0,483.0228577,9.831472397
84000,0.324,1.97E-08,239,313,0.28,411,0.43,198000,0.112,8.15E-10,579,630,0.22,713,0.46,-7683,256.1091309,388.4849854,0.071003966,0,738.1175537,214.8995361
375000,0.269,1.31E-08,453,474,0.27,522,0.39,84000,0.324,1.97E-08,239,313,0.28,411,0.43,-4306,453.1939087,243.3581085,0.003940512,0.016596766,973.4180298,28.9610405
188000,0.379,1.90E-08,391,474,0.25,495,0.55,306000,0.47,4.07E-09,332,432,0.2,522,0.35,-4883,402.3246765,333.7019348,0.036619797,0.005620969,1293.531372,182.9622955
356000,0.373,6.56E-09,500,545,0.29,611,0.59,285000,0.234,1.41E-08,551,621,0.23,702,0.49,-5503,502.7102051,549.1957397,0.017743792,0.001025344,1424.013916,59.64628601
144000,0.134,1.35E-08,428,507,0.13,567,0.24,342000,0.285,1.55E-08,226,285,0.2,331,0.31,-8827,444.2301941,234.4397736,0.027675945,0.02860941,1031.977661,188.8259125
135000,0.491,1.99E-08,575,675,0.13,770,0.43,333000,0.34,2.49E-08,561,634,0.16,680,0.28,-7660,610.2399902,563.7886353,0.046915222,0.007173095,1809.399292,184.4298401
365000,0.398,2.45E-08,223,289,0.12,355,0.35,109000,0.498,2.72E-08,297,369,0.21,444,0.39,-8290,278.2779236,298.6431274,0.1053335,0.005111677,1351.55188,91.66886139
92000,0.333,9.77E-10,543,578,0.11,601,0.3,251000,0.285,1.67E-08,495,534,0.16,619,0.43,-4679,340.0670166,177.2128906,0,0,619.4034424,13.67373276
141000,0.484,4.51E-09,511,609,0.14,660,0.3,188000,0.379,1.90E-08,391,474,0.25,495,0.55,-7067,517.9442139,392.8053284,0.01307034,0.006493207,1273.447876,72.34698486
331000,0.199,6.36E-09,447,511,0.17,582,0.4,141000,0.116,1.46E-08,402,453,0.14,532,0.31,-3932,449.9873657,356.2772217,0.00865385,0,1177.632324,19.82862854
109000,0.498,2.72E-08,297,369,0.21,444,0.39,198000,0.112,8.15E-10,579,630,0.22,713,0.46,-5892,315.8463745,429.0050354,0.055791963,0,2348.702148,211.3244171
146000,0.279,2.25E-08,223,258,0.27,308,0.41,356000,0.373,6.56E-09,500,545,0.29,611,0.59,-3157,228.6054535,296.1956177,0.043296751,0,717.0734253,113.7414627
312000,0.434,7.16E-09,409,487,0.26,546,0.46,77000,0.283,2.74E-08,402,454,0.11,515,0.3,-3358,410.4137878,310.9324036,0.006698996,0,992.1455688,8.041840553
330000,0.38,8.96E-09,377,406,0.13,496,0.35,342000,0.285,1.55E-08,226,285,0.2,331,0.31,-2407,378.1052551,226.3826294,0.005729175,0.001665918,942.6107178,34.76005936
198000,0.112,8.15E-10,579,630,0.22,713,0.46,84000,0.324,1.97E-08,239,313,0.28,411,0.43,-2717,201.3912048,98.53037262,0,0,347.9059448,6.88206768
